"app_id","app_name","size_bytes","price","rating_count_total","rating_count_current","user_rating_total","user_rating_current","content_rating","genre","support_devices","language_num"
"1","PAC-MAN Premium","101","3.99","21292","26","4.0","4.5","Everyone","Games","38","10"
"2","Evernote - stay organized","159","0.00","161065","26","4.0","3.5","Everyone","Productivity","37","23"
"3","WeatherBug - Local Weather, Radar, Maps, Alerts","101","0.00","188583","2822","3.5","4.5","Everyone","Weather","37","3"
"4","eBay: Best App to Buy, Sell, Save! Online Shopping","129","0.00","262241","649","4.0","4.5","High maturity","Shopping","37","9"
"5","Bible","93","0.00","985920","5320","4.5","5.0","Everyone","Reference","37","45"
"6","Shanghai Mahjong","10","0.99","8253","5516","4.0","4.0","Everyone","Games","47","1"
"7","PayPal - Send and request money safely","228","0.00","119487","879","4.0","4.5","Everyone","Finance","37","19"
"8","Pandora - Music & Radio","130","0.00","1126879","3594","4.0","4.5","High maturity","Music","37","1"
"9","PCalc - The Best Calculator","49","9.99","1117","4","4.5","5.0","Everyone","Utilities","37","1"
"10","Ms. PAC-MAN","70","3.99","7885","40","4.0","4.0","Everyone","Games","38","10"
"11","Solitaire by MobilityWare","50","4.99","76720","4017","4.5","4.5","Everyone","Games","38","11"
"12","SCRABBLE Premium","228","7.99","105776","166","3.5","2.5","Everyone","Games","37","6"
"13","Google â€“ Search made just for mobile","180","0.00","479440","203","3.5","4.0","High maturity","Utilities","37","33"
"14","Bank of America - Mobile Banking","161","0.00","119773","2336","3.5","4.5","Everyone","Finance","37","2"
"15","FreeCell","55","4.99","6340","668","4.5","4.5","Everyone","Games","38","2"
"16","TripAdvisor Hotels Flights Restaurants","208","0.00","56194","87","4.0","3.5","Everyone","Travel","37","26"
"17","Facebook","390","0.00","2974676","212","3.5","3.5","Everyone","Social Networking","37","29"
"18","Yelp - Nearby Restaurants, Shopping & Services","167","0.00","223885","3726","4.0","4.5","High maturity","Travel","37","18"
"19","Shazam - Discover music, artists, videos & lyrics","147","0.00","402925","136","4.0","4.5","High maturity","Music","37","16"
"20","Crash Bandicoot Nitro Kart 3D","11","2.99","31456","4178","4.0","3.5","Everyone","Games","47","1"
"21","iQuran","71","1.99","2929","966","4.5","4.5","Everyone","Reference","43","2"
"22",":) Sudoku +","6","2.99","11447","781","5.0","5.0","Everyone","Games","40","1"
"23","Yahoo Sports - Teams, Scores, News & Highlights","131","0.00","137951","131","4.0","4.5","Everyone","Sports","37","6"
"24","Mileage Log | Fahrtenbuch","71","5.99","8","0","4.5","0.0","Everyone","Business","37","3"
"25","Cleartune - Chromatic Tuner","11","3.99","3241","297","4.0","4.0","Everyone","Music","43","10"
"26","Lifesum â€“ Inspiring healthy lifestyle app","188","0.00","5795","12","3.5","4.0","Everyone","Health & Fitness","37","11"
"27","Hangman.","5","0.00","42316","248","3.0","3.5","Low maturity","Games","38","1"
"28","iTranslate - Language Translator & Dictionary","288","0.00","123215","25","3.5","5.0","Everyone","Productivity","37","23"
"29","TouchOSC","4","4.99","782","7","4.0","3.5","Everyone","Music","43","1"
"30","RadarScope","173","9.99","3449","23","4.0","4.5","Everyone","Weather","37","1"
"31","LinkedIn","274","0.00","71856","62","3.5","4.5","Everyone","Social Networking","37","23"
"32","Period Tracker Deluxe","40","1.99","13350","489","4.5","5.0","High maturity","Health & Fitness","38","15"
"33","Election 2016 Map","2","0.99","137","0","3.0","0.0","Everyone","Entertainment","37","1"
"34","Blackjack by MobilityWare","105","0.00","180087","1101","3.5","4.5","High maturity","Games","37","5"
"35","White Noise","44","0.99","33426","299","4.0","5.0","Everyone","Health & Fitness","37","3"
"36","iHeartRadio â€“ Free Music & Radio Stations","116","0.00","293228","110","4.0","3.0","High maturity","Music","37","2"
"37","Line Rider iRideâ„¢","2","1.99","21609","69","3.5","2.5","Low maturity","Entertainment","40","1"
"38","Deliveries: a package tracker","30","4.99","4684","10","4.0","4.0","Everyone","Utilities","37","9"
"39","Hurricane Pro","30","2.99","2104","0","4.5","0.0","High maturity","Weather","37","1"
"40","Fieldrunners","67","2.99","41633","6","4.0","3.0","Low maturity","Games","37","1"
